CCAA,02/03/20 11:30,03/03/20 11:30,04/03/20 11:30,05/03/20 11:30,06/03/20 11:30,09/03/20 11:30,10/03/20 18:15,11/03/20 11:30,12/03/20 11:30,13/03/20 13:30,15/03/20 11:30,16/03/20 11:30,17/03/20 11:30,18/03/20 11:30
Andalucía,0,0,0,0,0,0,0,0,0,0,6,7,11,19
Aragón,0,0,0,0,1,1,3,4,6,7,7,11,12,13
Asturias,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Baleares,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Canarias,0,0,0,0,0,0,0,0,0,0,1,1,2,3
Cantabria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Castilla-La Mancha,0,0,0,0,0,0,0,0,1,5,10,17,17,28
Castilla y León,0,0,0,0,0,0,0,0,0,1,6,9,12,22
Cataluña,0,0,0,0,0,1,3,3,4,4,8,12,18,41
Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comunidad Valenciana,0,0,1,1,1,1,1,1,1,1,5,5,13,22
Extremadura,0,0,0,0,0,0,0,0,1,1,2,2,3,6
Galicia,0,0,0,0,0,0,0,0,0,0,2,2,3,3
Madrid,0,0,0,1,2,8,21,31,56,81,213,213,355,390
Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navarra,0,0,0,0,0,0,0,0,0,0,0,1,2,3
País Vasco,0,0,0,1,1,5,6,6,11,14,23,23,36,40
La Rioja,0,0,0,0,0,0,1,2,2,2,3,4,5,5