fecha,codigoIsoPais,nombrePais,codigoIsoCcaa,codigoIneCcaa,nombreCcaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,PCR,serológicos,casosActivos,casosHospitalizados,casosUCI,casosFallecidos,casosAltas,casosAislamiento,casosConfirmadosDiario,casosHospitalizadosDiario,casosUCIDiario,casosFallecidosDiario,casosAltasDiario
2020-05-25,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2816,,,134,12,1,209,2473,122,6,2,0,0,16
2020-04-24,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2810,,,144,10,1,209,2457,134,0,-1,0,0,10
2020-04-23,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2810,,,154,11,1,209,2447,143,2,-1,0,0,21
2020-04-22,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2808,,,173,12,1,209,2426,161,7,2,0,0,32
2020-04-21,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2801,,,198,10,1,209,2394,188,3,1,0,0,24
2020-04-20,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2798,,,219,9,1,209,2370,210,11,-5,-1,0,37
2020-04-19,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2787,,,245,14,2,209,2333,231,5,0,0,1,13
2020-04-18,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2782,,,254,14,2,208,2320,240,8,-3,1,1,30
2020-04-17,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2774,,,277,17,1,207,2290,260,3,1,0,0,38
2020-04-16,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2771,,,312,16,1,207,2252,280,3,-1,0,1,75
2020-04-15,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2768,,,385,17,1,206,2177,351,9,-3,0,0,77
2020-04-14,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2759,,,453,20,1,206,2100,382,20,-3,-1,1,42
2020-04-13,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2739,,,476,23,2,205,2058,401,9,-2,-2,0,46
2020-04-12,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2730,,,513,25,4,205,2012,447,19,0,0,0,142
2020-04-11,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2711,,,636,25,4,205,1870,482,17,-10,0,1,48
2020-04-10,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2694,,,668,35,4,204,1822,486,1,2,0,0,18
2020-04-09,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2693,,,685,33,4,204,1804,514,3,0,0,0,71
2020-04-08,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2690,,,753,33,4,204,1733,585,7,-5,1,1,95
2020-04-07,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2683,,,842,38,3,203,1638,640,33,-1,0,0,76
2020-04-06,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2650,,,885,39,3,203,1562,643,15,-5,0,1,83
2020-04-05,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2635,,,954,44,3,202,1479,686,27,-8,0,0,44
2020-04-04,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2608,,,971,52,3,202,1435,700,12,-21,-2,1,50
2020-04-03,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2596,,,1010,73,5,201,1385,716,2,-1,0,1,3
2020-04-02,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2594,,,1012,74,5,200,1382,702,17,-6,-1,2,57
2020-05-01,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2577,,,1065,80,6,198,1325,751,21,-1,0,6,54
2020-04-30,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2556,,,1092,81,6,192,1271,763,44,-17,0,1,66
2020-04-29,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2512,,,1114,98,6,191,1205,774,65,-10,-3,0,81
2020-04-28,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2447,,,1129,108,9,191,1124,766,51,-9,1,3,79
2020-04-27,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2396,,,1160,117,8,188,1045,790,37,-15,-1,2,78
2020-04-26,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2359,,,1200,132,9,186,967,787,23,-5,0,3,53
2020-04-25,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2336,,,1234,137,9,183,914,888,16,7,0,1,116
2020-04-24,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2320,,,1338,130,9,182,798,963,37,-13,-2,4,-115
2020-04-23,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2283,,,1346,143,11,178,913,1048,64,-36,-6,5,63
2020-04-22,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2219,,,1359,179,17,173,850,1016,53,-6,-1,6,132
2020-04-21,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2166,,,1374,185,18,167,718,1095,38,-11,0,2,72
2020-04-20,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2128,,,1415,196,18,165,646,1120,32,-11,1,7,20
2020-04-19,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2096,,,1441,207,17,158,626,1104,41,8,-3,5,16
2020-04-18,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2055,,,1411,199,20,153,610,1092,52,3,0,4,76
2020-04-17,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,2003,,,1383,196,20,149,534,1123,38,-22,-2,5,24
2020-04-16,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1965,,,1409,218,22,144,510,1093,61,-21,-4,7,68
2020-04-15,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1904,,,1401,239,26,137,442,1086,25,-10,-3,5,79
2020-04-14,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1879,,,1447,249,29,132,363,1135,33,-29,-1,12,40
2020-04-13,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1846,,,1460,278,30,120,323,1125,13,-17,-3,3,6
2020-04-12,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1833,,,1467,295,33,117,317,1104,47,4,-2,7,20
2020-04-11,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1786,,,1441,291,35,110,297,1088,26,-1,-1,3,16
2020-04-10,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1760,,,1429,292,36,107,281,1080,69,2,-3,5,16
2020-04-09,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1691,,,1385,290,39,102,265,1034,37,2,1,4,51
2020-04-08,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1654,,,1374,288,38,98,214,1054,61,-4,-3,6,28
2020-04-07,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1593,,,1349,292,41,92,186,1023,73,-18,1,8,46
2020-04-06,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1520,,,1311,310,40,84,140,986,32,-37,-3,7,36
2020-04-05,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1488,,,1310,347,43,77,104,960,28,14,0,9,1
2020-04-04,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1460,,,1291,333,43,68,103,956,40,-7,-4,0,5
2020-04-03,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1420,,,1264,340,47,68,98,914,69,-1,0,4,41
2020-04-02,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1351,,,,341,47,64,57,889,73,-14,0,4,12
2020-04-01,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1278,,,,355,47,60,45,818,38,-31,0,6,15
2020-03-31,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1240,,,,386,47,54,30,770,57,-17,2,17,9
2020-03-30,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1183,,,,403,45,37,21,722,58,17,4,10,5
2020-03-29,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1125,,,,386,41,27,16,696,87,-5,3,1,0
2020-03-28,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1038,,,,391,38,26,16,605,85,24,2,4,1
2020-03-27,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,953,,,,367,36,22,15,549,98,22,7,1,3
2020-03-26,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,855,,,,345,29,21,12,477,143,47,5,4,1
2020-03-25,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,712,,,,298,24,17,11,,180,61,2,3,3
2020-03-24,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,532,,,,237,22,14,8,,88,50,2,5,1
2020-03-23,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,444,,,,187,20,9,7,,76,40,5,3,0
2020-03-22,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,368,,,,147,15,6,7,,72,26,4,1,0
2020-03-21,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,296,,,,121,11,5,7,,68,27,4,1,0
2020-03-20,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,228,,,,94,7,4,7,,59,20,0,2,0
2020-03-19,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,169,,,,74,7,2,7,,55,28,2,1,0
2020-03-18,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,114,,,,46,5,1,7,,36,19,1,1,0
2020-03-17,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,78,,,,27,4,0,7,,17,13,1,0,0
2020-03-16,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,61,,,,14,3,0,7,,3,4,0,0,0
2020-03-15,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,58,,,,10,3,0,7,,9,1,0,0,0
2020-03-14,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,49,,,,9,3,0,7,,17,3,2,0,0
2020-03-13,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,32,,,,6,1,0,7,,12,1,0,0,1
2020-03-12,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,20,,,,5,1,0,6,,8,1,0,0,0
2020-03-11,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,12,,,,4,1,0,6,,0,3,1,0,2
2020-03-10,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,12,,,,1,0,0,4,,0,0,0,0,4
2020-03-09,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,12,,,,1,0,0,0,,0,0,0,0,0
2020-03-08,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,12,,,,1,0,0,0,,0,0,0,0,0
2020-03-07,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,12,,,,1,0,0,0,,1,0,0,0,0
2020-03-06,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,11,,,,1,0,0,0,,1,0,0,0,0
2020-03-05,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,10,,,,1,0,0,0,,0,0,0,0,0
2020-03-04,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,10,,,,1,0,0,0,,0,0,0,0,0
2020-03-03,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,10,,,,1,0,0,0,,0,0,0,0,0
2020-03-02,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,10,,,,1,0,0,0,,9,0,0,0,0
2020-03-01,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1,,,,1,0,0,0,,0,0,0,0,0
2020-02-29,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,1,,,,1,0,0,0,,1,1,0,0,0
2020-02-28,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,,,,,,,,,,0,0,0,0,0
2020-02-27,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,ES-S,Cantabria,,,,,,,,,,0,0,0,0,0