CCAA;FECHA;CASOS;PCR+;TestAc+;Hospitalizados;UCI;Fallecidos;Recuperados
GA;;6331;;;1968;162;204;688
MD;;;47273;;13950;1494;5371;18410
ML;;92;;;40;3;2;11
MC;;1283;;;500;84;78;193
NC;;3355;;;1488;124;202;421
PV;;9021;;;4856;417;586;3728
RI;;2846;;;918;66;160;994
AN;;;8973;;4463;520;605;1041
AR;;3549;;;1716;255;349;659
AS;;1705;;;958;91;102;294
IB;;1412;;;731;129;89;616
CN;;1762;;;703;138;91;249
CB;;1572;;;700;69;92;175
CM;;11788;;;2731;354;1255;1557
CL;;10058;;;5322;342;1028;2988
CT;;29647;;;16235;1829;2462;7320
CE;;84;;;9;4;4;7
VC;;7655;;;3713;496;724;1344
EX;;2184;;;898;98;271;328
GA;;6538;;;2014;158;213;800
MD;;;48632;;13289;1450;5586;19836
ML;;93;;;40;3;2;12
MC;;1326;;;515;86;85;203
NC;;3467;;;1526;124;206;450
PV;;9452;;;4982;430;635;4151
RI;;2951;;;955;68;177;1061
AN;;;9234;;4599;538;652;1193
AR;;3685;;;1765;261;385;718
AS;;1737;;;1018;94;110;340
IB;;1448;;;751;132;89;696
CN;;1834;;;730;140;92;359
CB;;1619;;;720;71;98;214
CM;;12489;;;2575;342;1322;1766
CL;;10518;;;5523;338;1082;3242
CT;;31043;;;16970;1946;2667;8014
CE;;84;;;9;4;4;7
VC;;7964;;;3815;541;767;1772
EX;;2273;;;958;99;283;381
GA;;6758;;;2094;155;231;910
MD;;;50021;;12853;1433;5800;21121
ML;;93;;;40;3;2;16
MC;;1356;;;533;87;88;219
NC;;3575;;;1526;124;214;462
PV;;9806;;;5130;433;689;4514
RI;;3026;;;997;69;182;1172
AN;;;9482;;4715;582;691;1437
AR;;3831;;;1822;263;409;797
AS;;1799;;;1083;100;121;372
IB;;1488;;;777;136;97;737
CN;;1858;;;738;141;94;386
CB;;1659;;;747;73;102;265
CM;;13063;;;2359;329;1431;1982
CL;;11102;;;5674;332;1129;3506
CT;;31824;;;17780;1966;2787;8705
CE;;91;;;9;4;4;12
VC;;8331;;;3987;561;796;2085
EX;;2332;;;1003;101;288;397
GA;;6946;;;2165;151;243;997
MD;;;50954;;12432;1399;5972;22414
ML;;95;;;41;3;2;17
MC;;1383;;;533;88;90;255
NC;;3748;;;1620;124;218;560
PV;;10103;;;5290;442;729;4680
RI;;3076;;;1047;71;196;1256
AN;;;9682;;4808;602;737;1630
AR;;3969;;;1860;266;425;888
AS;;1827;;;1147;105;128;414
IB;;1507;;;778;137;102;757
CN;;1887;;;745;144;95;432
CB;;1719;;;773;75;107;281
CM;;13456;;;2198;316;1483;2205
CL;;11543;;;5817;327;1180;3757
CT;;32984;;;18194;1989;2877;9267
CE;;93;;;9;4;4;17
VC;;8578;;;4132;565;818;2289
EX;;2486;;;1052;104;303;462
GA;;7176;;;2215;144;261;1082
MD;;;51796;;11894;1376;6084;23663
ML;;98;;;43;3;2;18
MC;;1413;;;533;88;94;275
NC;;3817;;;1641;124;227;603
PV;;10515;;;5402;453;765;4741
RI;;3223;;;1082;73;207;1337
AN;;;9976;;4950;619;799;1838
AR;;4070;;;1901;272;450;934
AS;;1892;;;1208;106;140;430
IB;;1534;;;805;142;112;848
CN;;1918;;;758;144;95;447
CB;;1752;;;805;75;110;297
CM;;13698;;;6838;316;1543;2365
CL;;12118;;;5957;323;1221;4010
CT;;34027;;;18772;2018;2975;9610
CE;;93;;;9;4;4;17
VC;;8841;;;4149;567;838;2624
EX;;2580;;;1074;106;312;481
GA;;7336;;;2306;140;274;1143
MD;;;52322;;11424;1332;6278;24683
ML;;98;;;43;3;2;18
MC;;1449;;;537;91;97;344
NC;;3969;;;1663;124;232;650
PV;;10772;;;5547;459;804;4867
RI;;3279;;;1122;73;219;1420
AN;;;10063;;4993;621;815;1967
AR;;4187;;;1938;274;464;946
AS;;1958;;;1265;110;149;434
IB;;1550;;;811;143;117;862
CN;;1944;;;763;145;96;458
CB;;1777;;;827;75;117;317
CM;;14054;;;7782;475;1626;2532
CL;;12628;;;6077;312;1263;4154
CT;;34726;;;18963;2084;3105;10040
CE;;95;;;9;4;4;20
VC;;9060;;;4269;576;876;2803
EX;;2658;;;1096;107;321;511
GA;;7494;;;2344;136;284;1186
MD;;;52657;;11233;1327;6423;25385
ML;;101;;;43;3;2;18
MC;;1463;;;543;94;101;353
NC;;4092;;;1693;124;239;695
PV;;11018;;;5622;464;831;5026
RI;;3358;;;1141;73;223;1458
AN;;;10171;;5054;631;836;2032
AR;;4245;;;1966;280;492;963
AS;;2051;;;1330;111;156;458
IB;;1571;;;826;145;118;871
CN;;1958;;;771;147;102;589
CB;;1796;;;853;76;120;323
CM;;14329;;;7830;486;1714;2943
CL;;13180;;;6175;308;1299;4266
CT;;35197;;;19224;2102;3201;10387
CE;;96;;;9;4;4;22
VC;;9213;;;4397;581;907;3069
EX;;2684;;;1114;107;334;578
GA;;7597;;;2403;133;290;1240
MD;;;53600;;10753;1299;6568;26247
ML;;101;;;43;3;2;18
MC;;1487;;;566;96;106;476
NC;;4150;;;1705;124;249;730
PV;;11226;;;5679;470;859;5193
RI;;3420;;;1152;74;234;1519
AN;;;10394;;5147;665;865;2224
AR;;4338;;;2006;282;514;1012
AS;;2096;;;1387;114;166;487
IB;;1606;;;857;149;125;881
CN;;1975;;;781;152;104;622
CB;;1823;;;873;76;132;363
CM;;14680;;;7896;495;1755;2998
CL;;13697;;;6306;306;1337;4521
CT;;36505;;;20264;2189;3453;11480
CE;;98;;;9;4;4;30
VC;;9424;;;4465;588;945;3360
EX;;2762;;;1155;107;342;615
GA;;7708;;;2471;128;299;1298
MD;;;54666;;10116;1244;6724;27433
ML;;102;;;43;3;2;24
MC;;1520;;;574;97;109;513
NC;;4246;;;1731;124;252;808
PV;;11475;;;5750;471;902;5428
RI;;3457;;;1182;75;246;1585
AN;;;10559;216;5226;671;912;2634
AR;;;4411;155;2108;291;543;1087
AS;;;2081;89;1432;116;168;522
IB;;1637;;;872;152;131;918
CN;;;1988;0;802;156;107;673
CB;;1845;;;890;77;137;442
CM;;15151;;;7987;503;1796;3378
CL;;14380;;;6449;307;1372;4725
CT;;37354;;;20553;2252;3618;11961
CE;;;98;2;9;4;4;41
VC;;9615;;;4524;625;972;3702
EX;;;2581;300;1186;107;359;649
GA;;7873;;;2494;123;310;1383
MD;;;55549;;9653;1206;6877;28491
ML;;;103;0;43;3;2;27
MC;;;1424;174;575;97;111;516
NC;;4348;;;1752;124;261;845
PV;;11790;11790;;5863;478;956;5813
RI;;;3539;377;1207;75;257;1654
AN;;;10638;383;5298;675;940;2790
AR;;;4489;175;2151;240;562;1121
AS;;;2124;106;1474;118;174;545
IB;;1668;;;905;152;134;938
CN;;;2009;0;811;159;111;730
CB;;1884;;;903;78;144;510
CM;;15997;;;8018;511;1852;3600
CL;;14903;;;6518;297;1401;4924
CT;;38316;;;21242;2305;3752;12787
CE;;;98;3;9;4;4;44
VC;;;9486;297;4605;632;999;4024
EX;;;2656;363;1212;107;372;707
GA;;8013;;;2535;117;320;1456
MD;;;56360;;9141;1154;7007;29436
ML;;104;;;44;3;2;30
MC;;;1423;202;585;99;112;545
NC;;4433;;;1781;124;338;892
PV;;12089;12089;;5939;484;992;6144
RI;;;3547;551;1226;76;262;1729
AN;;;10738;434;5341;677;967;2948
AR;;;4551;210;2180;243;601;1121
AS;;;2153;119;1520;119;187;575
IB;;;1724;24;937;157;148;958
CN;;;2035;0;822;160;115;785
CB;;1990;;;911;78;149;534
CM;;16349;;;8093;514;1913;3838
CL;;15293;;;6831;495;1429;5103
CT;;;39943;152;22013;2349;3879;13275
CE;;;100;11;9;4;4;53
VC;;;9584;533;4708;636;1042;4306
EX;;;2663;468;1240;107;380;736
GA;;8084;;;2554;115;334;0
MD;;;57113;0;8597;1094;7132;30475
ML;;;104;0;44;3;2;30
MC;;;1430;217;611;102;115;638
NC;;;4349;230;1829;127;354;954
PV;;12355;11553;802;6030;490;1020;6556
RI;;;3583;667;1249;78;272;1777
AN;;;10902;491;5424;687;993;3116
AR;;;4608;223;2216;246;619;1175
AS;;;2172;126;1571;120;196;596
IB;;;1740;33;955;160;155;993
CN;;;2047;0;825;162;119;789
CB;;;1949;101;924;78;153;610
CM;;;14588;2037;8137;518;1963;3963
CL;;;14644;977;6981;498;1458;5262
CT;;;40448;152;22235;2395;3933;13691
CE;;;100;12;9;4;4;59
VC;;;9657;593;4781;643;1065;4547
EX;;;2673;519;1278;107;384;767
GA;;8185;;;2590;112;346;0
MD;;;57591;2475;8291;1123;7239;31313
ML;;;104;3;44;3;2;44
MC;;;1438;215;612;102;116;652
NC;;;4413;243;1843;127;369;992
PV;;;11731;838;6086;499;1062;6972
RI;;;3636;694;1268;79;277;1816
AN;;;10996;527;5473;690;1013;3229
AR;;;4654;232;2244;248;637;1178
AS;;;2181;167;1599;122;200;599
IB;;;1749;39;963;161;157;1005
CN;;;2067;0;826;163;119;813
CB;;;1973;110;934;78;158;626
CM;;;14725;2071;8173;531;2021;4178
CL;;;14781;1076;7080;501;1493;5366
CT;;;41676;1027;22375;2409;4009;13934
CE;;;100;14;9;4;4;74
VC;;;9708;631;4827;646;1079;4629
EX;;;2692;551;1306;107;389;858
GA;;8299;;;2609;108;352;1548
MD;;;57782;2663;8191;1111;7351;31762
ML;;;104;5;44;3;2;46
MC;;;1440;219;612;103;117;662
NC;;;4449;286;1856;128;385;1123
PV;;;11789;839;6109;501;1081;7124
RI;;;3664;707;1282;79;285;1833
AN;;;11104;553;5509;692;1017;3411
AR;;;4684;254;2271;250;643;1182
AS;;;2192;173;1626;122;202;616
IB;;;1767;41;986;161;161;1005
CN;;;2085;0;837;164;120;878
CB;;;1998;110;948;78;165;646
CM;;;14936;2109;8199;534;2075;4242
CL;;;14951;1308;7174;503;1521;5429
CT;;;43112;1027;22796;2437;4152;14446
CE;;;100;14;9;4;4;73
VC;;;9750;649;4866;648;1089;4719
EX;;;2692;551;1327;107;397;921
GA;;8468;;;2652;101;360;1588
MD;;;58362;2672;7930;1076;7460;32277
ML;;;105;5;44;3;2;46
MC;;;1445;251;614;104;120;702
NC;;;4475;356;1877;128;397;1190
PV;;;11843;967;6141;507;1103;7277
RI;;;3684;799;1297;81;294;1866
AN;;;11235;654;5565;696;1050;3569
AR;;;4761;293;2304;252;656;1530
AS;;;2218;201;1665;128;211;642
IB;;;1788;48;1005;166;164;1017
CN;;;2094;0;841;164;121;927
CB;;;2012;148;956;78;167;718
CM;;;15053;2268;8243;537;2140;4337
CL;;;15141;1698;7264;505;1554;5614
CT;;;43802;1027;23295;2460;4247;15089
CE;;;100;24;9;4;4;76
VC;;;9825;746;4896;649;1106;5011
EX;;;2692;551;1349;107;404;1051
GA;;8634;;;2674;96;368;1625
MD;;;58933;2954;7464;1024;7577;33032
ML;;;105;6;44;3;2;50
MC;;;1455;262;622;104;123;761
NC;;;4531;427;1894;128;401;1316
PV;;;11974;1070;6201;513;1124;7651
RI;;;3704;882;1318;81;298;1899
AN;;;11368;837;5616;702;1079;3847
AR;;;4833;404;2340;253;681;1680
AS;;;2229;224;1705;130;223;665
IB;;;1807;54;1022;167;168;1047
CN;;;2113;0;855;169;121;969
CB;;;2023;183;965;78;173;850
CM;;;15128;2429;8304;546;2188;4577
CL;;;15510;1892;7397;508;1582;5777
CT;;;44892;1027;23647;2478;4343;15477
CE;;;100;24;9;4;4;76
VC;;;9869;866;4917;650;1124;5388
EX;;;2715;651;1375;107;407;1237
GA;;8805;;;2694;92;375;1676
MD;;;59603;3393;7077;981;7684;33645
ML;;;106;7;44;3;2;55
MC;;;1460;261;624;104;124;766
NC;;;4577;486;1907;129;409;1445
PV;;;12094;1342;6260;516;1167;8136
RI;;;3741;986;1331;82;303;1937
AN;;;11500;963;5675;714;1107;3992
AR;;;4867;428;2359;254;695;1781
AS;;;2234;275;1728;131;231;688
IB;;;1821;57;1040;166;172;1081
CN;;;2140;0;868;169;128;1017
CB;;;2055;189;978;78;178;913
CM;;;15365;2688;8342;553;2255;4782
CL;;;15692;2084;7506;510;1612;5943
CT;;;45544;1027;24130;2569;4393;16138
CE;;;100;25;10;4;4;84
VC;;;9939;967;4945;651;1147;5809
EX;;;2718;685;1413;107;411;1358
GA;;8932;;;2707;87;382;1730
MD;;;60015;3535;6601;949;7765;34212
ML;;;107;9;44;3;2;61
MC;;;1468;273;625;105;125;791
NC;;;4581;599;1915;129;417;1552
PV;;;12204;1576;6315;518;1193;8459
RI;;;3790;1075;1344;82;307;1964
AN;;;11663;1129;5715;717;1131;4295
AR;;;4922;460;2372;255;709;1929
AS;;;2238;308;1760;132;239;716
IB;;;1847;60;1058;166;174;1102
CN;;;2155;0;878;171;130;1036
CB;;;2071;244;982;78;182;1046
CM;;;15509;3016;8385;559;2292;4876
CL;;;15990;2269;7555;511;1639;6033
CT;;;46261;1027;24130;2576;4498;16753
CE;;;100;25;10;4;4;98
VC;;;10066;1057;4978;653;1172;6033
EX;;;2718;740;1447;107;416;1510
GA;;9116;;;2722;90;388;1783
MD;;;60484;3691;6183;892;7848;34902
ML;;;108;10;44;3;2;77
MC;;;1468;288;625;105;126;842
NC;;;4627;647;1937;129;429;1737
PV;;;12366;1766;6375;525;1212;8941
RI;;;3821;1125;1360;83;311;1999
AN;;;11731;1260;5747;716;1145;4741
AR;;;4955;501;2395;257;712;1960
AS;;;2249;352;1790;134;249;749
IB;;;1854;63;1062;166;175;1123
CN;;;2167;0;880;171;131;1048
CB;;;2083;247;991;78;183;1127
CM;;;15609;3386;8417;565;2330;5196
CL;;;16222;2462;7653;515;1666;6208
CT;;;46811;1027;25665;2583;4566;17006
CE;;;100;31;10;4;4;104
VC;;;10160;1212;5013;654;1186;6243
EX;;;2736;729;1480;107;422;1582
GA;;9176;;;2735;85;394;1803
MD;;;60709;3691;5892;873;7922;35367
ML;;;110;11;44;3;2;81
MC;;;1474;297;627;106;127;920
NC;;;4712;740;1942;129;431;1835
PV;;;12455;1860;6426;533;1230;9602
RI;;;3861;1137;1380;84;315;2037
AN;;;11807;1321;5767;720;1157;4890
AR;;;4985;519;2403;257;726;2010
AS;;;2254;423;1814;137;253;759
IB;;;1859;63;1062;166;179;1136
CN;;;2178;0;881;171;131;1047
CB;;;2104;246;995;78;186;1241
CM;;;15664;3622;8444;579;2365;5282
CL;;;16404;2624;7703;518;1690;6272
CT;;;47755;1027;25799;2724;4699;17897
CE;;;100;31;10;4;4;107
VC;;;10180;1232;5032;656;1189;6317
EX;;;2749;731;1490;107;428;1652
GA;;9238;;;2746;83;405;1816
MD;;;60817;4022;39472;3309;7986;35565
ML;;;110;11;44;3;2;87
MC;;;1474;297;627;106;128;990
NC;;;4733;753;1942;130;432;1918
PV;;;12513;1899;6457;538;1241;9840
RI;;;3892;1149;1392;85;320;2049
AN;;;11859;1359;5792;721;1168;5039
AR;;;5004;553;2425;258;735;2081
AS;;;2255;433;1843;137;261;780
IB;;;1870;70;1074;166;181;1166
CN;;;2187;0;900;174;133;1075
CB;;;2115;271;1000;78;188;1290
CM;;;15706;3812;8464;584;2396;5306
CL;;;16589;2783;7777;522;1710;6323
CT;;;48158;1027;26230;2750;4808;18319
CE;;;100;34;10;4;4;110
VC;;;10204;1454;5046;659;1200;6423
EX;;;2751;736;1505;107;433;1733
GA;;9328;;;2758;73;412;1841
MD;;;61319;4205;39634;3338;8048;35841
ML;;;114;11;44;3;2;92
MC;;;1475;318;629;106;130;1113
NC;;;4759;871;1945;130;432;1978
PV;;;12564;2240;6482;539;1255;9974
RI;;;3897;1200;1400;87;326;2064
AN;;;11941;1528;5831;722;1188;5272
AR;;;5042;610;2454;258;736;2189
AS;;;2266;531;1886;137;266;809
IB;;;1879;71;1079;166;185;1196
CN;;;2202;0;906;175;134;1107
CB;;;2146;293;1006;79;191;1372
CM;;;15785;4010;8523;588;2436;5382
CL;;;16690;3161;7854;524;1736;6448
CT;;;48654;1027;26546;2768;4905;19060
CE;;;101;38;10;4;4;114
VC;;;10236;1580;5072;662;1218;6599
EX;;;2764;749;1526;107;440;1797
GA;;9466;8675;791;2736;308;547;5393
MD;;;61675;4381;39850;3355;8105;36314
ML;;;114;11;44;3;2;95
MC;;;1480;360;635;106;130;1153
NC;;;4794;1090;1951;130;448;2082
PV;;;12619;2519;6522;540;1274;10474
RI;;;3910;1263;1413;87;330;2091
AN;;;11981;1675;5873;721;1207;5710
AR;;;5091;880;2477;258;739;2291
AS;;;2283;545;1915;137;273;835
IB;;;1883;72;1082;167;188;1219
CN;;;2205;0;909;175;135;1131
CB;;;2173;332;1007;79;191;1483
CM;;;15832;4239;8567;592;2463;5512
CL;;;16885;3427;7957;528;1752;6569
CT;;;48916;1027;26763;2784;4975;19615
CE;;;101;45;10;4;4;126
VC;;;10331;1727;5096;663;1236;6886
EX;;;2785;753;1550;108;446;1887
GA;;;8697;848;2747;310;547;5573
MD;;;62016;4488;40076;3377;8176;36707
ML;;;114;11;44;3;2;96
MC;;;1486;408;637;108;130;1202
NC;;;4815;1325;1965;132;451;2113
PV;;;12701;2818;6561;541;1296;10936
RI;;;3918;1288;1424;88;332;2159
AN;;;12094;1820;5935;729;1238;6334
AR;;;5116;987;2494;260;749;2382
AS;;;2298;555;1938;140;273;860
IB;;;1894;76;1090;167;193;1245
CN;;;2206;0;914;175;136;1151
CB;;;2184;363;1009;79;192;1509
CM;;;15910;4606;8618;596;2498;5615
CL;;;16993;3746;8010;531;1770;6686
CT;;;49307;1027;26932;2795;5061;19640
CE;;;101;50;10;4;4;138
VC;;;10347;1862;5126;694;1245;7078
EX;;;2811;819;1565;108;451;1960
GA;;;8848;848;2759;313;555;5816
MD;;;62261;4609;40293;3392;8222;37154
ML;;;115;11;44;3;2;96
MC;;;1488;472;638;109;132;1229
NC;;;4848;1489;1977;132;458;2185
PV;;;12824;3145;6607;544;1312;11380
RI;;;3936;1290;1433;88;333;2220
AN;;;12140;2023;5961;735;1253;6821
AR;;;5136;1028;2503;260;761;2474
AS;;;2303;561;1974;141;279;890
IB;;;1902;82;1094;167;197;1268
CN;;;2212;0;918;175;140;1149
CB;;;2201;376;1009;79;193;1551
CM;;;15967;5056;8645;601;2534;5702
CL;;;17165;3834;8054;531;1788;6813
CT;;;49850;1027;27049;2811;5137;19913
CE;;;101;51;10;4;4;140
VC;;;10411;2103;5153;695;1258;7287
EX;;;2824;866;1592;108;458;2017
GA;;;8902;848;2769;313;557;5981
MD;;;62322;4609;40457;3404;8292;37530
ML;;;115;11;44;3;2;96
MC;;;1491;475;639;110;132;1251
NC;;;4888;1523;1979;132;460;2281
PV;;;12887;3232;6659;551;1321;11805
RI;;;3947;1292;1439;88;334;2279
AN;;;12175;2112;5961;736;1256;6897
AR;;;5164;1044;2519;260;761;2558
AS;;;2305;579;1995;142;280;908
IB;;;1908;82;1099;167;197;1284
CN;;;2221;0;919;175;140;1150
CB;;;2205;384;1010;79;195;1616
CM;;;16017;5273;8676;604;2565;5772
CL;;;17283;3946;8085;533;1800;6856
CT;;;50234;1027;27257;2844;5185;20332
CE;;;101;51;10;4;4;141
VC;;;10436;2250;5181;698;1264;7447
EX;;;2844;868;1603;108;460;2072
GA;;;8967;848;2774;315;563;6075
MD;;;62394;4609;40597;3421;8332;37704
ML;;;117;12;44;3;2;98
MC;;;1492;482;641;110;134;1260
NC;;;4902;1525;1986;133;462;2411
PV;;;12938;3259;6692;553;1329;12024
RI;;;3952;1295;1446;88;335;2297
AN;;;12194;2155;5973;738;1263;7021
AR;;;5188;1051;2526;260;762;2624
AS;;;2306;685;2014;142;284;917
IB;;;1908;83;1102;167;197;1294
CN;;;2225;0;919;175;141;1166
CB;;;2206;390;1011;79;197;1610
CM;;;16050;5461;8698;606;2590;5794
CL;;;17334;4045;8123;534;1818;6900
CT;;;50366;1027;27321;2847;5220;21898
CE;;;101;51;10;4;4;142
VC;;;10436;2398;5204;700;1269;7506
EX;;;2849;873;1618;108;460;2090
GA;;;9011;848;2782;315;569;6234
MD;;;62395;4609;40741;3431;8376;37808
ML;;;119;12;44;3;2;101
MC;;;1492;482;645;110;134;1277
NC;;;4918;1529;1990;133;466;2494
PV;;;12952;3294;6719;554;1341;12155
RI;;;3961;1297;1449;88;335;2312
NOTA: El objetivo de los datos que se publican en esta web es saber el número de casos acumulados a la fecha y que por tanto no se puede deducir que la diferencia entre un día y el anterior es el número de casos nuevos ya que esos casos pueden haber sido recuperados de fechas anteriores. Cualquier inferencia que se haga sobre las diferencias de un día para otro deben hacerse con precaución y son únicamente la responsabilidad del autor.;;;;;;;;
Los datos de estas comunidades son datos de prevalencia (personas ingresadas a fecha de hoy). No reflejan el total de personas que han sido hospitalizadas o ingresadas en UCI  a lo largo del periodo de notificación(CL(UCIs)-GA(UCIS)-CM*-MD**);;;;;;;;
* Desde el día 11/04/2020 las cifras de hospitalizados de CM son casos acumulados. Previamente se refieren a personas ingresadas ese día.;;;;;;;;
* Desde el día 12/04/2020 las cifras de UCIs de CM son casos acumulados. Previamente se refieren a personas ingresadas ese día.;;;;;;;;
* Desde el día 26/04/2020 las cifras de Hospitalizados y UCIs de CM son casos acumulados. Previamente se refieren a personas ingresadas ese día. Se actualizará la serie cuando esté disponible;;;;;;;;
NOTA2:Se excluyen de la serie las notificaciones de personas  con anticuerpos positivos sin síntomas en el momento de realización de la prueba en los que no se puede establecer un momento de contagio ni si han padecido o no la enfermedad.;;;;;;;;
